JAN,在庫数,薬品名,棚番
4987173018963,8,イソバイドシロップ７０％分包２０ｍＬ(分包1包),分包棚３
4987173018987,69,イソバイドシロップ７０％分包３０ｍＬ(分包1包),分包棚４､30ML
4987770577405,105,イドメシンコーワクリーム１％(ﾁｭｰﾌﾞ35ｇ),外用下
4987770577108,0,イドメシンコーワゲル１％(ﾁｭｰﾌﾞ35ｇ),外用下
4987770556004,21,イドメシンコーワパップ７０ｍｇ　１０ｃｍ×１４ｃｍ(枚7枚),湿布棚３､7枚入
4987081103003,0,イナビル吸入粉末剤２０ｍｇ(ｷｯﾄ1ｷｯﾄ),吸入
4987123158367,191,イニシンク配合錠(PTP1錠),茶劇
4987035593508,3937.5,イノラス配合経腸用液(袋187.5mL),湿布棚３
,0,イノラス配合経腸用液(1mL),""
4987114105608,-28,イフェクサーＳＲカプセル７５ｍｇ(PTP1Ｃ),""
4987901000505,100,イフェクサーＳＲカプセル７５ｍｇ(PTP1Ｃ),""
4987271004752,127,イフェンプロジル酒石酸塩錠２０ｍｇ「ツルハラ」(PTP1錠),茶
4987123410724,200,イブプロフェン錠１００ｍｇ「タイヨー」(PTP1錠),""
4987114182500,0,イブランスカプセル２５ｍｇ(PTP1Ｃ),抗癌剤（１）
4987114193803,0,イブランス錠２５ｍｇ(PTP1錠),""
4987246711043,0,イミグラン錠５０　５０ｍｇ(PTP1錠),""
4987060309969,314,イミダフェナシンＯＤ錠０．１ｍｇ「杏林」(PTP1錠),茶
4987081181179,310,イミダプリル塩酸塩錠５ｍｇ「ＤＳＥＰ」(PTP1錠),茶
4987672153615,0,イムブルビカカプセル１４０ｍｇ(PTP1Ｃ),抗癌剤(2)
4987233008194,92,イリボー錠５μｇ(PTP1錠),下劇
4987233008729,11,イリボーＯＤ錠２．５μｇ(PTP1錠),下劇
4987080251316,186,イルアミクス配合錠ＨＤ「サワイ」(PTP1錠),下劇､PTP
4987087040401,60,イルトラ配合錠ＨＤ(PTP1錠),下
4987171248102,2,イルベサルタン錠５０ｍｇ「ケミファ」(PTP1錠),下
4987171249109,255,イルベサルタン錠１００ｍｇ「ケミファ」(PTP1錠),下
4987672105744,0,インヴェガ錠３ｍｇ(PTP1錠),下劇
4987274057137,225,インクレミンシロップ５％(ﾊﾞﾗ1mL),冷蔵庫水剤
4987188431269,0,インサイドパップ７０ｍｇ　１０ｃｍ×１４ｃｍ(枚7枚),""
4987199324659,4,インスリン　アスパルトＢＳ注ソロスターＮＲ「サノフィ」３００単位(ｷｯﾄ1ｷｯﾄ),""
4987428771100,0,インスリン　グラルギンＢＳ注ミリオペン「リリー」　３００単位(ｷｯﾄ1ｷｯﾄ),冷蔵庫下
4987087042436,52,インチュニブ錠１ｍｇ(PTP1錠),不動在庫
4987641074194,25,インテバンクリーム１％(ﾁｭｰﾌﾞ25ｇ),外用下､25G
4987925670104,205,インデラル錠１０ｍｇ(PTP1錠),茶劇
4987158102038,148,ウブレチド錠５ｍｇ(PTP1錠),毒薬
4987171674239,187,ウラリット配合錠(PTP1錠),茶
4987086110815,384.5,ウリアデック錠２０ｍｇ(PTP1錠),茶､PTP／バラ
4987086110860,278,ウリアデック錠４０ｍｇ(PTP1錠),茶
4987058145036,55,ウルグートカプセル２００ｍｇ(PTP1Ｃ),茶
